"name","cas","dcb","code","pharmacy"
 belladonna homeo,,,"3090",b
.,,,"13120",b
"5 hidroxitriptofano",,"06767","7111",c
"5- piridoxal fosfato",,,"2759",b
"5-fluoro uracil(nao temos)",,,"8692",b
"5-hidroxitriptofano",,,"65171",b
aa2g,,,"2034",b
aakg - arginina alfacetoglutar,,,"9185",b
abacateiro,,,"69917",b
abacateiro ext seco,,,"6970",c
abacateiro po,,,"69917",a
abacateiro tm,,,"47806",b
abies de lourdes sg,,,"11970",b
abies nigra ho,,,"11002",c
abil quat 3272,,,"13186",b
abrico f. (sg),,,"3511",b
abrotanum homeo,,,"6171",b
abrus precatorius ho,,,"10969",c
abrus precatorius homeo,,,"10328",b
absinthium homeo,,,"6074",b
abundancia f. (sg),,,"3515",b
ac acetico,,,"50052",b
ac acetico  (pc-pf) policias,"64197","00086","50052",a
ac acetil salicilico,,,"50064",b
ac acetil salicilico 01/08/21,"50782","00089","50064",a
ac alfa lipoico,"1077287","00361","1401",a
ac aspartico sob enc,,,"9450",a
ac azelaico,"123999","00113","32605",a
ac azelaico,,,"50088",b
ac benzoico,,,"50090",b
ac benzoico  (pc-pf) acabou,"65850","00115","50090",a
ac borico,,,"50118",b
ac borico (pc - pf) policias,"10043353","00116","50118",a
ac citrico,,,"50120",b
ac citrico,"77929","00134","50120",a
ac cloridrico,"7647010","00150","50131",b
ac d aspartico,,,"50076",b
ac fenico,,,"53569",b
ac ferulico,,,"1833",b
ac ferulico,"1135246",,"37929",a
ac fitico,"83863","00188","2358",a
ac fitico,,,"70993",b
ac folico diluido 1/10,,,"3914",b
ac folico mp+ q.2 mg,"59303","00194","50155",a
ac folico puro,,,"50155",b
ac folinico,,,"336",b
ac folinico 1/100,,,"12508",b
ac fulvico,,,"8300",b
ac glicirizico,,,"6622",b
ac glicirrizico,"1405863",,"6622",a
ac glicolico,"79141","09572","60835",a
ac glicolico,,,"60835",b
ac glutamico,"56860","00230","50180",a
ac glutamico,,,"50180",b
ac hialuronico,,,"9313",b
ac hialuronico 1/100 externo,,,"12771",b
ac hialuronico pÓ,"9067327","00233","42813",a
ac hialuronico po uso interno,,,"3946",b
ac hialuronico topico,,,"63319",a
ac kojico,"501304",,"2161",a
ac kojico,,,"2161",b
ac kojico dipalmtato,"79725987",,"60806",a
ac lactico,"50215","00274","50209",a
ac lactico,,,"70520",b
ac lactobionico,,,"5134",b
ac malico,,,"97974",b
ac malico,"617481","09396","6116",c
ac malico,"6915157","9396","97974",a
ac mandelico,,,"50210",b
ac mandelico 11/08/21,"90642","00282","50210",a
ac mefenamico,,,"5800",b
ac mefenamico acabou,"61687","00286","5800",a
ac nicotinico,"59676","00296","50222",a
ac nicotinico *,,,"50222",b
ac nitrico pa,,,"8256",b
ac pangamico,,,"50854",b
ac pangamico acabou,,,"50854",a
ac paraaminobenzoico,"150130","00098","7095",c
ac paraminobenzoico *,,,"50246",b
ac piruvico,,,"4641",b
ac r lipoico,,,"10913",b
ac retinoico diluido,,,"3915",b
ac retinoico diluido 1:100,,,"2598",a
ac retinoico puro,"302794","08848","50260",b
ac salicilico,"69727","00340","50283",a
ac salicilico,,,"50283",b
ac sulfuricum ho,,,"11036",c
ac tanico,"1401554","00349","50313",a
ac tartarico,"87694","00350","50325",a
ac tartarico,,,"50325",b
ac tioglicolico,,,"960",b
ac tioglicolico,,,"23137",a
ac tiotico,,,"62303",b
ac tranexamico,"1197188","00365","42989",a
ac tranexamico,,,"5261",b
ac tricloroacetico,,,"50337",b
ac ursodesoxicolico,,,"14309",b
ac ursodesoxicolico,"128132","00369","8816",a
acafrao ext seco,,"10823","50003",a
aÇafrÃo po,,"10823","10337",c
aÇai  ext seco,,,"5603",b
acai ext seco,,,"12434",a
aÇai ext seco,,,"6930",c
acarbose,,,"8283",b
acarbose acabou,"56180940","00017","1579",a
acaros homeo,,,"5970",b
aceclofenaco,"89796996","00027","1990",a
aceclofenaco,,,"40540",b
acessulfame k,,,"8569",c
acesulfame k,,,"1017",b
acetaminofem,,,"50015",b
acetato calcio pa,"62544","09629","7556",a
acetato de calcio,,,"75036",b
acetato de zinco sob enc,,,"5634",a
acetato zinco,,,"63411",b
acetil l carnitina,,,"80639",b
acetil l carnitina,"5080502",,"35889",a
acetona,,,"4705",c
acetona,"67641","00078","50040",b
acetona pa (pc-pf) d2 policias,,,"4861",a
achillea millefolium tm,,,"12151",b
achromaxyl,,,"8747",b
aciclovir po,,,"80561",b
acido acetico glacial,,"00086","6654",c
acido acetil salicilico,,,"9185",c
acido alfa lipoico,,,"4321",c
acido alfa r lipoico,,,"8343",c
acido azelaico,,"00113","6979",c
acido borico,,"00116","6982",c
acido citrico,,"00134","6833",c
acido citrico 50% *,,,"5119",c
acido citrico 55%,,,"9326",c
acido cloridrico,,,"4715",c
acido d aspartico,"1783966","00108","4227",c
acido ferulico,,,"6773",c
acido fitico 50%,,,"5014",c
acido folico,,,"5225",c
acido folico dil 1:10,,,"2585",a
acido folinico,,,"4973",c
acido fosforico 85%,,"00199","6668",c
acido glicirrhizico **,,,"6769",c
acido glicolico,,"09572","5434",c
acido glutamico **,,"00230","6968",c
