"name","orgininalName","cas","dcb","code","pharmacy"
  cof,densiskin,,,12820,a
 ascorbato calcio,aspartato calcio acabou,"21059461","00109",5993,a
 belladonna homeo, belladonna homeo,,,3090,b
 chapéu de aba larga,petasites hybridus,,,11476,b
 peptideos alisma ,indufence,,,10942,b
 ubiquinol - kaneka q30,ubiquinol,"992789",,11645,c
(s)  synovea hr (s) sob enc,belides,,,8168,a
******,eps white,,,10397,c
*******,essencia mosaic levibelle,,,8516,c
********,alcool 70% formulas,,,8269,c
*********,tricho sol,,,9462,c
**********,mangostin garcinia,,,7950,c
***********,tricho sol,,,10623,c
***********,alcool 70% formulas,,,8270,c
***********,alcool 70% formulas,,,8788,c
***************,tricho sol,,,10624,c
**********************,alcool 70% formulas,,,8789,c
",",omega 3 po,,,8985,b
",",potaba,,,13240,b
",,",surfax eve,,,56984,b
.,colostro,,,14701,b
.,oli-ola,,,11466,b
.,ferro taste free 19%,,,14145,b
.,exsynutriment,,,3196,b
.,nicotinato de inositol,,,12823,b
.,magnesio treonato,,,10572,b
.,myokiron,,,13283,b
.,siliciu max,,,12207,b
.,omega 3 po,,,10759,b
.,ginseng indiano,,,11067,b
.,vegelip gel 3,,,11929,b
.,glucomannan,,,72710,b
.,betamune,,,12288,b
.,lipase,,,12261,b
.,gelatina,,,14371,b
.,beta-alanina,,,12319,b
.,ac ferulico,,,8779,b
.,ac pangamico,,,5037,b
.,ac pangamico,,,10605,b
.,luminecense out (topico),,,14089,b
.,luminecense out (topico),,,14090,b
..,siliciu max,,,11337,b
..,surfax eve,,,75401,b
...,base vitalgreen serum glucam *,,,7817,c
...,cap gastro 0 incolor,,,8113,c
....,cap gastro 0 incolor,,,8112,c
....,gel natrosol,,,10473,c
....,gel natrosol,,,10474,c
.....,iodo quelato 1%,,,8612,c
"1-bois d´inde",cha bugre acabou,,,7716,a
"17 alfa estradiol mp externo ",alfa estradiol mp ext. e oral,"57910","00510",60652,a
"17 alfaestradiol mp externo",alfa estradiol mp ext. e oral,"57910","00510",60654,a
"17 beta estradiol ",estradiol base,"50282","03595",42794,a
"17 valer betametasona ",betametasona val. puro,"2152445","01219",3412,a
"25 hidroxi vitamina d",colecalciferol oleo em liquido,,,10782,a
"25-oh vit d para caps",colecalciferol usar  p/ caps,,,11257,a
"27-doxiacteine ",cimicifuga ext seco,"84776261","10252",39419,a
"3m3 whiteris g",whiteris,,,11492,b
"5 hidroxitriptofano","5-hidroxitriptofano",,,11917,b
"5 hidroxitriptofano","5 hidroxitriptofano",,"06767",7111,c
"5 hidroxitriptofano ",hidroxitriptofano (5htp),"4350098","06767",1968,a
"5 htp ",hidroxitriptofano (5htp),"4350098","06767",40589,a
"5 htp","5 hidroxitriptofano",,"06767",7960,c
"5 htp","5-hidroxitriptofano",,,11916,b
"5 l oh triptofano ",hidroxitriptofano (5htp),"4350098","06767",1967,a
"5 piridoxal fosfato  ",piridoxal 5-fosfato,"41468251",,2194,a
"5, 29 , 199",lachesis trigonocephalus ho,,,11384,c
"5- piridoxal fosfato","5- piridoxal fosfato",,,2759,b
"5-alpha-hydroxy-laxogenin",laxosterone,,,12127,b
"5-fluoro uracil(nao temos)","5-fluoro uracil(nao temos)",,,8692,b
